Generator,p_nom_opt
FR1 4 retrofitting moderate services rural heat,598.0567080353601
GB0 0 retrofitting ambitious services rural heat,7.249625537526059e-06
GB0 0 retrofitting moderate services rural heat,9.59341211768067e-06
GB0 1 retrofitting ambitious services rural heat,1.708551632007201e-05
GB0 1 retrofitting moderate services rural heat,2.7162000664699092e-05
GB0 2 retrofitting ambitious services rural heat,1.181946971129713e-05
GB0 2 retrofitting moderate services rural heat,1.6363731246946024e-05
GB5 0 retrofitting ambitious services rural heat,5.999047939482902e-06
GB5 0 retrofitting moderate services rural heat,9.185822338020586e-06
GR1 0 retrofitting ambitious services rural heat,3.431449696038108e-06
GR1 0 retrofitting moderate services rural heat,4.988419122964051e-06
HR1 0 retrofitting ambitious services rural heat,58.688049315200914
HR1 0 retrofitting moderate services rural heat,205.90290820348014
HU1 0 retrofitting ambitious services rural heat,301.9268256000888
HU1 0 retrofitting moderate services rural heat,577.2225923571698
IE5 0 retrofitting ambitious services rural heat,3.2868212800828904e-06
IE5 0 retrofitting moderate services rural heat,3.378105006007659e-06
IT1 0 retrofitting ambitious services rural heat,531.0174473948655
IT1 0 retrofitting moderate services rural heat,2025.7403908166093
IT1 1 retrofitting ambitious services rural heat,565.3138712359656
IT1 1 retrofitting moderate services rural heat,2156.5714059862366
IT3 0 retrofitting ambitious services rural heat,136.52661688893593
IT3 0 retrofitting moderate services rural heat,520.8217745325281
LT6 0 retrofitting ambitious services rural heat,90.29717108011013
LT6 0 retrofitting moderate services rural heat,124.40407233857191
LU1 0 retrofitting ambitious services rural heat,5.646609913375231
LU1 0 retrofitting moderate services rural heat,21.02522254559084
LV6 0 retrofitting ambitious services rural heat,111.3466704945934
LV6 0 retrofitting moderate services rural heat,161.02425690308203
ME1 0 retrofitting ambitious services rural heat,6.383326439543293e-07
ME1 0 retrofitting moderate services rural heat,9.221975752767041e-07
MK1 0 retrofitting ambitious services rural heat,3.2301190334863186e-06
MK1 0 retrofitting moderate services rural heat,6.251167909579098e-06
NL1 0 retrofitting ambitious services rural heat,181.98268663215032
NL1 0 retrofitting moderate services rural heat,544.6259227901387
NO2 0 retrofitting ambitious services rural heat,0.0
NO2 0 retrofitting moderate services rural heat,1.0698573875734958e-05
PL1 0 retrofitting ambitious services rural heat,9.170872820270836e-05
PL1 0 retrofitting moderate services rural heat,9.327478703292345e-05
PT1 0 retrofitting ambitious services rural heat,2.7314629184536776e-06
PT1 0 retrofitting moderate services rural heat,3.2742661983339048e-06
RO1 0 retrofitting ambitious services rural heat,347.36945223205055
RO1 0 retrofitting moderate services rural heat,958.1845251371617
RS1 0 retrofitting ambitious services rural heat,121.81039773667054
RS1 0 retrofitting moderate services rural heat,297.6190786261174
SE2 0 retrofitting ambitious services rural heat,0.0
SE2 0 retrofitting moderate services rural heat,3.6887300036618665e-06
SI1 0 retrofitting ambitious services rural heat,9.336570115379282e-06
SI1 0 retrofitting moderate services rural heat,2.83143368156624e-05
SK1 0 retrofitting ambitious services rural heat,333.34821102969016
SK1 0 retrofitting moderate services rural heat,629.2366642240946
AL1 0 retrofitting ambitious residential urban decentral heat,3.7043344994143153e-06
AL1 0 retrofitting moderate residential urban decentral heat,5.792947066256835e-06
AT1 0 retrofitting ambitious residential urban decentral heat,2.8777693675320922e-05
AT1 0 retrofitting moderate residential urban decentral heat,0.0010503102562058558
BA1 0 retrofitting ambitious residential urban decentral heat,69.34474560352533
BA1 0 retrofitting moderate residential urban decentral heat,159.95589186484125
BE1 0 retrofitting ambitious residential urban decentral heat,3623.2340110443934
BE1 0 retrofitting moderate residential urban decentral heat,9954.371758426701
BG1 0 retrofitting ambitious residential urban decentral heat,491.072460725387
BG1 0 retrofitting moderate residential urban decentral heat,1595.2071354205073
CH1 0 retrofitting ambitious residential urban decentral heat,0.0
CH1 0 retrofitting moderate residential urban decentral heat,4746.570301136318
CZ1 0 retrofitting ambitious residential urban decentral heat,1729.1311095346223
CZ1 0 retrofitting moderate residential urban decentral heat,4422.743322509505
DE1 0 retrofitting ambitious residential urban decentral heat,0.004236043524505751
DE1 0 retrofitting moderate residential urban decentral heat,0.01533417595595871
DE1 1 retrofitting ambitious residential urban decentral heat,0.003016042107402361
DE1 1 retrofitting moderate residential urban decentral heat,0.00200921339180502
DE1 2 retrofitting ambitious residential urban decentral heat,0.0034186429598188008
DE1 2 retrofitting moderate residential urban decentral heat,0.012791986618950875
DE1 3 retrofitting ambitious residential urban decentral heat,0.0007757353729010873
DE1 3 retrofitting moderate residential urban decentral heat,0.001554563070289334
DE1 4 retrofitting ambitious residential urban decentral heat,0.0010204511119125761
DE1 4 retrofitting moderate residential urban decentral heat,0.007113292681124845
DK1 0 retrofitting ambitious residential urban decentral heat,0.0
DK1 0 retrofitting moderate residential urban decentral heat,0.00016099712890816923
DK2 0 retrofitting ambitious residential urban decentral heat,0.0
DK2 0 retrofitting moderate residential urban decentral heat,2.704042897040566e-06
EE6 0 retrofitting ambitious residential urban decentral heat,102.55942791121358
EE6 0 retrofitting moderate residential urban decentral heat,238.40164357553334
ES1 0 retrofitting ambitious residential urban decentral heat,2.6298773382966383e-06
ES1 0 retrofitting moderate residential urban decentral heat,3.676323016197469e-06
ES4 0 retrofitting ambitious residential urban decentral heat,1.0947794718075699e-05
ES4 0 retrofitting moderate residential urban decentral heat,2.0047428983245973e-05
FI2 0 retrofitting ambitious residential urban decentral heat,0.0
FI2 0 retrofitting moderate residential urban decentral heat,0.0006478274206350674
FR1 0 retrofitting ambitious residential urban decentral heat,1869.2853632432832
FR1 0 retrofitting moderate residential urban decentral heat,4032.73489310687
FR1 1 retrofitting ambitious residential urban decentral heat,6359.313593836642
FR1 1 retrofitting moderate residential urban decentral heat,13719.325422094778
FR1 2 retrofitting ambitious residential urban decentral heat,2923.643578457699
FR1 2 retrofitting moderate residential urban decentral heat,6307.360219560751
FR1 3 retrofitting ambitious residential urban decentral heat,1301.6386605663333
FR1 3 retrofitting moderate residential urban decentral heat,2808.1092357820776
FR1 4 retrofitting ambitious residential urban decentral heat,2467.8034581125244
FR1 4 retrofitting moderate residential urban decentral heat,5323.960804344802
GB0 0 retrofitting ambitious residential urban decentral heat,0.00011855728752279192
GB0 0 retrofitting moderate residential urban decentral heat,0.0011999183093936645
