name,busmap
virtual_way/28156584:0-380,DE2 4AC
virtual_way/28434869:0-380,DE2 4AC
virtual_way/28434872:1-380,DE2 4AC
virtual_way/286319128:1-220,DE2 4AC
virtual_way/29252733:0-220,DE2 1AC
virtual_way/29287463:0-220,DE2 0AC
virtual_way/29472851:0-220,DE2 0AC
virtual_way/30419117:1-380,DE2 3AC
virtual_way/30859575:1-220,DE2 2AC
virtual_way/32267173:1-380,DE2 1AC
virtual_way/32398460:1-380,DE2 1AC
virtual_way/32672606:0-220,DE2 0AC
virtual_way/32672606:1-220,DE2 0AC
virtual_way/32950166:0-220,DE2 3AC
virtual_way/33382745:1-220,DE2 0AC
virtual_way/34174518:1-380,DE2 1AC
virtual_way/345674978:0-380,DE2 0AC
virtual_way/34897791:0-220,DE2 0AC
virtual_way/34942575:0-220,DE2 3AC
virtual_way/34942575:1-220,DE2 3AC
virtual_way/35164077:0-220,DE2 0AC
virtual_way/362332802:a:1-380,DE2 4AC
virtual_way/36258837:0-380,DE2 0AC
virtual_way/373086441:0-220,DE2 4AC
virtual_way/39676389:1-380,DE2 3AC
virtual_way/40692628:1-220,DE2 4AC
virtual_way/40854817:0-380,DE2 4AC
virtual_way/40854817:1-380,DE2 4AC
virtual_way/41232147:1-380,DE2 1AC
virtual_way/41334818:1-220,DE2 4AC
virtual_way/41374777:0-380,DE2 0AC
virtual_way/41460654:0-380,DE2 4AC
virtual_way/41642831:1-220,DE2 2AC
virtual_way/41931527:1-380,DE2 0AC
virtual_way/42389033:1-380,DE2 4AC
virtual_way/42472171:0-380,DE2 4AC
virtual_way/42508055:1-220,DE2 0AC
virtual_way/42509126:1-220,DE2 0AC
virtual_way/42809893:1-380,DE2 0AC
virtual_way/42861709:0-380,DE2 0AC
virtual_way/42920884:1-220,DE2 0AC
virtual_way/42920999:0-220,DE2 0AC
virtual_way/43201818:c:1-380,DE2 4AC
virtual_way/45737386:1-380,DE2 1AC
virtual_way/45737389:0-220,DE2 1AC
virtual_way/54359261:1-220,DE2 0AC
virtual_way/574218866:0-380,DE2 1AC
virtual_way/60541934:1-220,DE2 0AC
virtual_way/60725324:1-380,DE2 0AC
virtual_way/60869542:1-220,DE2 0AC
virtual_way/61918209:1-380,DE2 0AC
virtual_way/632166208:1-220,DE2 0AC
virtual_way/66676627:1-220,DE2 0AC
virtual_way/68018969:0-220,DE2 0AC
virtual_way/68677653:0-220,DE2 0AC
virtual_way/68677653:1-220,DE2 0AC
virtual_way/73306291:1-220,DE2 2AC
virtual_way/738918647:0-380,DE2 1AC
virtual_way/741770435:1-380,DE2 0AC
virtual_way/77179258:1-220,DE2 0AC
virtual_way/77179273:0-380,DE2 0AC
virtual_way/8017477:1-220,DE2 3AC
virtual_way/82077681:0-380,DE2 0AC
virtual_way/82077681:1-380,DE2 0AC
virtual_way/850698155:0-380,DE2 0AC
virtual_way/881636336:0-380,DE2 1AC
virtual_way/88715832:0-380,DE2 0AC
virtual_way/906381479:1-220,DE2 0AC
virtual_way/907517163:1-380,DE2 1AC
virtual_way/91084404:0-220,DE2 2AC
virtual_way/91655753:0-220,DE2 0AC
virtual_way/92877620:1-220,DE2 0AC
virtual_way/92877623:0-220,DE2 0AC
virtual_way/93258454:0-220,DE2 4AC
virtual_way/95636530:1-380,DE2 4AC
virtual_way/95860782:0-380,DE2 4AC
virtual_way/971780154:a:0-220,DE2 3AC
way/1011084707-220,DE2 1AC
